Name,long,lat
INT 920032,-93.747098902602,44.94939450098376
INT 920068,-93.71739319271327,45.05044651706673
INT 500020,-93.68672163131862,45.08702021539096
INT 830000,-93.6660410387657,44.99303071199505
INT 1100076,-93.66596934120233,44.96396773980479
INT 840028,-93.59422992220237,44.96739735191015
INT 1150004,-93.58354416639571,45.03661333075021
INT 1250004,-93.6557130286342,44.93145636825505
INT 1460024,-93.57374013651742,44.98043801974074
INT 820018,-93.56308446109982,44.90214716537139
INT 1160058,-93.54217917967833,45.1725367535908
INT 730068,-93.41853680459884,44.98647772175128
INT 1030052,-93.38091086804259,45.16095354939056
INT 1030056,-93.38079122986474,45.16633617888399
INT 660010,-93.34388919919995,44.99819076685883
INT 660042,-93.32154868644784,45.00032194613465
INT 660050,-93.31844685848549,44.99894351726339
INT 570018,-93.29944117541844,45.04753405887445
INT 570012,-93.29942627476746,45.04391767918944
INT 570022,-93.29918142508815,45.05113598248128
INT 570004,-93.29905954121706,45.03692129115242
INT 570028,-93.2989491261306,45.05843919571669
INT 460004,-93.28444401785117,44.91959562833459
INT 1360006,-93.2179689384237,45.02055188740235
INT 110000,-93.76681296046742,45.05002311057751
INT 500006,-93.73064158062027,45.08659187121697
INT 190148,-93.65583350907683,45.00755757133436
INT 190116,-93.64551430126257,44.96408071312914
INT 190204,-93.63582673059986,45.12352962275948
INT 190196,-93.63561184399046,45.09459477512495
INT 60036,-93.5840251634618,44.99855728482154
INT 190130,-93.65581890158492,44.99309282417529
INT 130012,-93.52635516940761,45.20991135604695
INT 300100,-93.41211320085628,45.12344802536834
INT 120082,-93.400920400624,45.19096694605389
INT 400058,-93.32615103423377,44.97783229528405
INT 90118,-93.31943987533407,45.03643882616405
INT 310002,-93.31885057752021,44.86075218759462
INT 310051,-93.31883911989905,44.91064402444123
INT 310042,-93.31882379404097,44.90162305380431
INT 20004,-93.30834899602559,44.97372846380836
INT 270026,-93.22686820841977,45.02772844263328
INT 270016,-93.2268678269364,45.02047180914056
INT 270014,-93.22673127443309,45.01892555266844
INT 1530000,-93.31870711227816,45.01335124863336
INT 150142,-93.48156939795382,44.97873016112339
INT 700000,-93.40229308523054,45.00747887560801
INT 160034,-93.45785866068827,44.94256737209894
Sig 9029870,-93.42149999999998,44.92460400000004
Sig 9029880,-93.41789899999998,44.92452200000008
Sig 9029890,-93.41534299999995,44.92422900000003
Sig 9029900,-93.41388399999994,44.92454700000008
Sig 9029910,-93.41261999999995,44.92458200000004
Sig 9029920,-93.41134200099998,44.92426800000004
Sig 9029930,-93.41021799999999,44.92458600000003
Sig 9029940,-93.40888700099998,44.92459000000008
Sig 9029950,-93.40629899999999,44.92455200000006
Sig 9029700,-93.46497999999997,44.97811000000007
Sig 9029710,-93.46326999999997,44.98175900000007
Sig 9029850,-93.40604299899996,44.92996500000004
Sig 9029960,-93.41455299999996,44.91720900000007
Sig 9029740,-93.39004499999999,44.98585600000007
Sig 9024700,-93.37760299999997,44.98610800000006
Sig 9025200,-93.51208100099996,44.91037500000004
Sig 9029790,-93.41108499999996,44.98557800000003
Sig 9029988,-93.40388199999995,44.97840300000007
Sig 9029973,-93.40882164099997,45.03351933500005
Sig 9029750,-93.39022299899995,44.98929700000008
Sig 9029770,-93.37053599999996,44.97438500000004
Sig 9029400,-93.35250599999995,44.97479400000003
Sig 9019760,-93.37033000099996,44.97325800000004
Sig 9029989,-93.35524799999996,44.96763500000003
Sig 9029987,-93.34964599999995,44.96736800000008
Sig 9024300,-93.37093999999996,44.96397400000006
Sig 9029991,-93.41510699999998,44.95327800000007
Sig 9019100,-93.41184299999998,44.95395500000006
Sig 9019200,-93.41033899999996,44.95527900000008
Sig 9024400,-93.38155899999998,44.95735400000007
Sig 9026800,-93.37366699999995,44.95920500000005
Sig 9025300,-93.37084399999998,44.95952900000003
Sig 9027300,-93.35522099999997,44.96565900000007
Sig 9025400,-93.34855199999998,44.96314100000006
Sig 9017700,-93.37076499899996,44.95482600000003
Sig 9013800,-93.37063299999994,44.95319700000005
Sig 9010645,-93.48154799999998,45.01646200000005
Sig 9014100,-93.38105299999995,44.94409200000007
Sig 9029810,-93.48204999899997,45.02061700000007
Sig 9029820,-93.48193799999996,45.02195100000006
Sig 9014400,-93.39152634699997,44.93881650600008
Sig 9014200,-93.38958299999996,44.93855000000008
Sig 9013900,-93.38114699999994,44.93848000000003
Sig 9017900,-93.35546685999998,44.93795907800006
Sig 9017800,-93.34768999999994,44.93765700000006
